département;vitesse max autorisée;autre véhicule;indéterminable;indéterminé;vehicules deux roues;vehicules leger;vehicules lourd;gravité indéterminé;indemne;tué;blessé hospitalisé;blessé léger;autre;hommes;femmes;jeune;adulte;senior;conducteur;passager;piéton;clustering kmeans
Ain;67.97903682719547;0.0011331444759206798;0.0005665722379603399;0.0;0.33257790368271956;1.176770538243626;0.19886685552407932;0.0;0.8521246458923513;0.08895184135977337;0.5121813031161473;0.8923512747875354;0.0084985835694051;1.5422096317280454;0.794900849858357;0.31218130311614734;1.6311614730878188;0.38980169971671386;1.6991501416430594;0.5371104815864023;0.10934844192634562;1
Aisne;68.18562874251496;0.004790419161676647;0.005988023952095809;0.0;0.3413173652694611;1.0023952095808384;0.2155688622754491;0.0;0.8215568862275449;0.1568862275449102;0.6431137724550898;0.578443113772455;0.010778443113772455;1.5497005988023953;0.6395209580838324;0.288622754491018;1.5508982035928143;0.3413173652694611;1.5532934131736527;0.518562874251497;0.1281437125748503;0
Allier;67.87579617834395;0.006369426751592357;0.0010615711252653928;0.0;0.37048832271762205;0.9745222929936306;0.19957537154989385;0.0010615711252653928;0.8651804670912951;0.10509554140127389;0.6422505307855626;0.5806794055201698;0.010615711252653927;1.435244161358811;0.7484076433121019;0.31316348195329086;1.4076433121019107;0.4585987261146497;1.5392781316348196;0.5329087048832272;0.12208067940552017;0
Alpes-Maritimes;52.473955507325016;0.007325013564839935;0.002984264785675529;0.0;0.6166576234400434;0.8928377645143787;0.17444384156266957;0.0005425935973955507;0.8944655453065654;0.05561584373304395;0.39609332609875203;0.8505154639175257;0.013293543136190992;1.5065111231687467;0.677428106348345;0.22192078133478024;1.557786218122626;0.40070537167661424;1.672816060770483;0.30792186652197506;0.21649484536082475;1
Alpes-de-Haute-Provence;67.38083832335329;0.0023952095808383233;0.0;0.0;0.4754491017964072;0.932934131736527;0.1341317365269461;0.0;0.8107784431137725;0.07904191616766468;0.5616766467065868;0.7377245508982035;0.00718562874251497;1.3940119760479042;0.7880239520958083;0.2215568862275449;1.4251497005988023;0.5341317365269461;1.5365269461077844;0.5365269461077844;0.11616766467065869;0
Ardennes;65.34683544303797;0.007594936708860759;0.002531645569620253;0.0;0.34430379746835443;0.9265822784810127;0.18734177215189873;0.002531645569620253;0.6911392405063291;0.1620253164556962;0.6556962025316456;0.4860759493670886;0.010126582278481013;1.4556962025316456;0.5316455696202531;0.26582278481012656;1.3721518987341772;0.3493670886075949;1.4455696202531645;0.37468354430379747;0.17721518987341772;0
Ardèche;61.78889990089197;0.010901883052527254;0.0019821605550049554;0.0;0.49157581764122893;0.9127849355797819;0.14767096134786917;0.0009910802775024777;0.6997026759167493;0.08820614469772052;0.5341922695738355;0.709613478691774;0.011892963330029732;1.398414271555996;0.622398414271556;0.26560951437066405;1.294350842418236;0.46085232903865214;1.5550049554013876;0.3726461843409316;0.10505450941526263;0
Ariège;61.44965277777778;0.017361111111111112;0.003472222222222222;0.0;0.3524305555555556;1.09375;0.14756944444444445;0.0;0.8541666666666666;0.08854166666666667;0.5121527777777778;0.8923611111111112;0.008680555555555556;1.5364583333333333;0.8020833333333334;0.3125;1.5052083333333333;0.5208333333333334;1.6059027777777777;0.6267361111111112;0.11458333333333333;1
Aube;59.24386825508059;0.011212333566923615;0.004204625087596356;0.0;0.35949544498948843;1.133146461107218;0.15416958654519972;0.000700770847932726;0.9684653118430273;0.05746320953048353;0.2754029432375613;0.9614576033637001;0.018220042046250877;1.4078486334968465;0.8374211632796076;0.31955150665732307;1.562718990889979;0.3552908199018921;1.6355991590749825;0.48423265592151365;0.14365802382620882;1
Aude;63.586395621579356;0.004691164972634871;0.00547302580140735;0.0;0.35809225957779517;1.1368256450351837;0.16106333072713058;0.0007818608287724785;1.021110242376857;0.09538702111024237;0.5199374511336982;0.7967161845191556;0.02111024237685692;1.5183737294761532;0.8944487881157154;0.344800625488663;1.6254886630179828;0.43393275996872555;1.652071931196247;0.6317435496481626;0.15011727912431588;1
